   No. Wave(nm)    Alb    Rf_Nadir  Rf_view  Abs_gr   Abs_sn  Abs_bk  Abs_soil
  223   821      0.3467   0.2143    0.2395   0.2019   0.0000  0.0000  0.4501
  224   822      0.3469   0.2144    0.2397   0.2017   0.0000  0.0000  0.4501
  225   823      0.3471   0.2146    0.2399   0.2014   0.0000  0.0000  0.4502
  226   824      0.3474   0.2147    0.2401   0.2011   0.0000  0.0000  0.4502
  227   825      0.3476   0.2149    0.2403   0.2009   0.0000  0.0000  0.4502
  228   826      0.3477   0.2150    0.2404   0.2009   0.0000  0.0000  0.4501
  229   827      0.3479   0.2151    0.2406   0.2006   0.0000  0.0000  0.4502
  230   828      0.3481   0.2153    0.2408   0.2004   0.0000  0.0000  0.4502
  231   829      0.3482   0.2153    0.2409   0.2004   0.0000  0.0000  0.4501
  232   830      0.3483   0.2155    0.2411   0.2002   0.0000  0.0000  0.4501
  233   831      0.3485   0.2156    0.2413   0.2001   0.0000  0.0000  0.4501
  234   832      0.3486   0.2157    0.2414   0.2000   0.0000  0.0000  0.4501
  235   833      0.3487   0.2158    0.2416   0.2000   0.0000  0.0000  0.4500
  236   834      0.3489   0.2160    0.2418   0.1998   0.0000  0.0000  0.4500
  237   835      0.3491   0.2161    0.2420   0.1995   0.0000  0.0000  0.4500
  238   836      0.3493   0.2162    0.2421   0.1994   0.0000  0.0000  0.4500
  239   837      0.3495   0.2164    0.2423   0.1991   0.0000  0.0000  0.4500
  240   838      0.3497   0.2165    0.2425   0.1989   0.0000  0.0000  0.4500
  241   839      0.3500   0.2167    0.2428   0.1986   0.0000  0.0000  0.4500
  242   840      0.3502   0.2168    0.2430   0.1984   0.0000  0.0000  0.4500
  243   841      0.3504   0.2169    0.2432   0.1981   0.0000  0.0000  0.4501
  244   842      0.3506   0.2171    0.2433   0.1979   0.0000  0.0000  0.4501
  245   843      0.3508   0.2172    0.2435   0.1977   0.0000  0.0000  0.4501
  246   844      0.3510   0.2173    0.2437   0.1974   0.0000  0.0000  0.4502
  247   845      0.3512   0.2175    0.2439   0.1972   0.0000  0.0000  0.4502
  248   846      0.3515   0.2176    0.2441   0.1970   0.0000  0.0000  0.4502
  249   847      0.3517   0.2177    0.2442   0.1967   0.0000  0.0000  0.4503
  250   848      0.3519   0.2179    0.2445   0.1964   0.0000  0.0000  0.4503
  251   849      0.3521   0.2180    0.2447   0.1962   0.0000  0.0000  0.4503
  252   850      0.3523   0.2182    0.2449   0.1959   0.0000  0.0000  0.4503
  253   851      0.3525   0.2183    0.2451   0.1957   0.0000  0.0000  0.4503
  254   852      0.3527   0.2185    0.2453   0.1955   0.0000  0.0000  0.4503
  255   853      0.3529   0.2186    0.2455   0.1953   0.0000  0.0000  0.4503
  256   854      0.3531   0.2187    0.2457   0.1951   0.0000  0.0000  0.4504
  257   855      0.3533   0.2188    0.2458   0.1949   0.0000  0.0000  0.4504
  258   856      0.3535   0.2190    0.2460   0.1947   0.0000  0.0000  0.4504
  259   857      0.3537   0.2191    0.2462   0.1945   0.0000  0.0000  0.4504
  260   858      0.3539   0.2192    0.2464   0.1942   0.0000  0.0000  0.4504
  261   859      0.3541   0.2193    0.2466   0.1941   0.0000  0.0000  0.4504
  262   860      0.3543   0.2195    0.2467   0.1939   0.0000  0.0000  0.4504
  263   861      0.3545   0.2196    0.2469   0.1937   0.0000  0.0000  0.4505
  264   862      0.3546   0.2197    0.2471   0.1935   0.0000  0.0000  0.4505
  265   863      0.3548   0.2198    0.2472   0.1933   0.0000  0.0000  0.4505
  266   864      0.3550   0.2199    0.2474   0.1931   0.0000  0.0000  0.4505
  267   865      0.3551   0.2201    0.2476   0.1930   0.0000  0.0000  0.4504
  268   866      0.3553   0.2202    0.2477   0.1929   0.0000  0.0000  0.4504
  269   867      0.3554   0.2203    0.2479   0.1927   0.0000  0.0000  0.4504
  270   868      0.3556   0.2205    0.2481   0.1925   0.0000  0.0000  0.4504
  271   869      0.3558   0.2206    0.2483   0.1923   0.0000  0.0000  0.4504
  272   870      0.3560   0.2207    0.2484   0.1922   0.0000  0.0000  0.4504
  273   871      0.3561   0.2208    0.2486   0.1921   0.0000  0.0000  0.4503
  274   872      0.3562   0.2209    0.2488   0.1920   0.0000  0.0000  0.4503
  275   873      0.3564   0.2210    0.2489   0.1919   0.0000  0.0000  0.4503
  276   874      0.3565   0.2211    0.2490   0.1918   0.0000  0.0000  0.4503
  277   875      0.3566   0.2212    0.2492   0.1917   0.0000  0.0000  0.4503
  278   876      0.3567   0.2213    0.2493   0.1916   0.0000  0.0000  0.4502
  279   877      0.3568   0.2214    0.2494   0.1915   0.0000  0.0000  0.4502
  280   878      0.3569   0.2215    0.2496   0.1913   0.0000  0.0000  0.4502
  281   879      0.3571   0.2216    0.2497   0.1912   0.0000  0.0000  0.4502
  282   880      0.3572   0.2216    0.2498   0.1912   0.0000  0.0000  0.4501
  283   881      0.3573   0.2217    0.2500   0.1911   0.0000  0.0000  0.4501
  284   882      0.3574   0.2218    0.2501   0.1910   0.0000  0.0000  0.4501
  285   883      0.3575   0.2219    0.2502   0.1910   0.0000  0.0000  0.4500
  286   884      0.3576   0.2220    0.2504   0.1909   0.0000  0.0000  0.4500
  287   885      0.3577   0.2221    0.2505   0.1908   0.0000  0.0000  0.4499
  288   886      0.3579   0.2223    0.2507   0.1907   0.0000  0.0000  0.4499
  289   887      0.3580   0.2224    0.2508   0.1907   0.0000  0.0000  0.4498
  290   888      0.3581   0.2224    0.2509   0.1906   0.0000  0.0000  0.4498
  291   889      0.3582   0.2225    0.2510   0.1906   0.0000  0.0000  0.4498
  292   890      0.3583   0.2226    0.2512   0.1905   0.0000  0.0000  0.4497
  293   891      0.3583   0.2227    0.2513   0.1905   0.0000  0.0000  0.4497
  294   892      0.3584   0.2228    0.2514   0.1905   0.0000  0.0000  0.4496
  295   893      0.3585   0.2229    0.2516   0.1904   0.0000  0.0000  0.4496
  296   894      0.3586   0.2229    0.2517   0.1903   0.0000  0.0000  0.4496
  297   895      0.3587   0.2230    0.2518   0.1902   0.0000  0.0000  0.4495
  298   896      0.3588   0.2231    0.2519   0.1903   0.0000  0.0000  0.4494
  299   897      0.3589   0.2232    0.2520   0.1902   0.0000  0.0000  0.4494
  300   898      0.3590   0.2232    0.2521   0.1901   0.0000  0.0000  0.4494
  301   899      0.3590   0.2233    0.2522   0.1902   0.0000  0.0000  0.4493
  302   900      0.4578   0.2474    0.2928   0.0009   0.0000  0.0000  0.5361
 
