   No. Wave(nm)    Alb    Rf_Nadir  Rf_view  Abs_gr   Abs_sn  Abs_bk  Abs_soil
  171   769      0.2374   0.2894    0.2894   0.0708   0.0000  0.0000  0.6918
  172   770      0.2380   0.2900    0.2900   0.0700   0.0000  0.0000  0.6920
  173   771      0.2386   0.2907    0.2907   0.0692   0.0000  0.0000  0.6922
  174   772      0.2392   0.2914    0.2914   0.0684   0.0000  0.0000  0.6923
  175   773      0.2398   0.2921    0.2921   0.0678   0.0000  0.0000  0.6924
  176   774      0.2403   0.2926    0.2926   0.0671   0.0000  0.0000  0.6926
  177   775      0.2407   0.2932    0.2932   0.0665   0.0000  0.0000  0.6927
  178   776      0.2412   0.2937    0.2937   0.0660   0.0000  0.0000  0.6928
  179   777      0.2416   0.2942    0.2942   0.0655   0.0000  0.0000  0.6928
  180   778      0.2420   0.2947    0.2947   0.0651   0.0000  0.0000  0.6928
  181   779      0.2424   0.2951    0.2951   0.0648   0.0000  0.0000  0.6928
  182   780      0.2427   0.2955    0.2955   0.0645   0.0000  0.0000  0.6927
  183   781      0.2429   0.2959    0.2959   0.0643   0.0000  0.0000  0.6927
  184   782      0.2432   0.2962    0.2962   0.0641   0.0000  0.0000  0.6926
  185   783      0.2435   0.2966    0.2966   0.0639   0.0000  0.0000  0.6925
  186   784      0.2438   0.2970    0.2970   0.0638   0.0000  0.0000  0.6924
  187   785      0.2440   0.2974    0.2974   0.0636   0.0000  0.0000  0.6923
  188   786      0.2443   0.2977    0.2977   0.0634   0.0000  0.0000  0.6923
  189   787      0.2446   0.2981    0.2981   0.0631   0.0000  0.0000  0.6922
  190   788      0.2449   0.2985    0.2985   0.0630   0.0000  0.0000  0.6921
  191   789      0.2451   0.2989    0.2989   0.0628   0.0000  0.0000  0.6920
  192   790      0.2454   0.2993    0.2993   0.0626   0.0000  0.0000  0.6919
  193   791      0.2457   0.2996    0.2996   0.0624   0.0000  0.0000  0.6919
  194   792      0.2460   0.2999    0.2999   0.0622   0.0000  0.0000  0.6918
  195   793      0.2463   0.3003    0.3003   0.0620   0.0000  0.0000  0.6917
  196   794      0.2465   0.3007    0.3007   0.0618   0.0000  0.0000  0.6916
  197   795      0.2468   0.3010    0.3010   0.0617   0.0000  0.0000  0.6915
  198   796      0.2470   0.3013    0.3013   0.0615   0.0000  0.0000  0.6915
  199   797      0.2473   0.3017    0.3017   0.0613   0.0000  0.0000  0.6914
  200   798      0.2475   0.3021    0.3021   0.0611   0.0000  0.0000  0.6913
  201   799      0.2478   0.3024    0.3024   0.0610   0.0000  0.0000  0.6912
 
